case_id,continent,country_of_applicant,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,visa_type,application_season,processing_center,processing_time_days,case_status
1,North America,China,PhD,Y,N,44819,1998,West,103980.24,Hourly,Y,PR,Winter,Center C,298,Certified
2,South America,Canada,PhD,Y,N,21270,2008,Northeast,24504.44,Weekly,Y,Business,Winter,Center A,298,Certified
3,Africa,Japan,PhD,Y,N,44905,2023,West,10621.09,Monthly,Y,Work,Summer,Center C,80,Certified
4,South America,Nigeria,High School,Y,Y,16346,1956,South,102305.01,Monthly,Y,PR,Fall,Center B,276,Certified
5,South America,Nigeria,Bachelor's,N,N,48834,1986,Midwest,28982.96,Yearly,N,Tourist,Winter,Center B,134,Certified
6,Europe,UAE,High School,Y,N,28119,2020,West,145303.12,Weekly,Y,PR,Spring,Center B,38,Certified
7,Africa,UAE,Master's,Y,N,30581,1960,Northeast,16346.22,Weekly,Y,Student,Winter,Center B,343,Certified
8,Africa,Brazil,PhD,Y,N,41411,1989,West,105912.81,Monthly,Y,Business,Fall,Center A,165,Certified
9,Africa,Australia,Master's,Y,N,13962,1951,South,122063.9,Yearly,Y,Tourist,Summer,Center D,162,Certified
10,South America,Brazil,Master's,N,N,22591,2003,Midwest,80772.29,Weekly,Y,Student,Spring,Center C,345,Certified
11,North America,UK,High School,N,N,37262,2024,Northeast,34922.61,Hourly,Y,Business,Summer,Center B,41,Certified
12,Africa,Brazil,Diploma,N,N,20160,1965,Northeast,11538.93,Hourly,Y,Dependent,Winter,Center A,236,Certified
13,Oceania,China,Bachelor's,N,N,19838,1965,South,108469.16,Weekly,Y,Business,Fall,Center D,314,Denied
14,South America,India,Master's,Y,Y,12288,1986,Northeast,87886.57,Monthly,Y,Dependent,Summer,Center A,56,Certified
15,Europe,India,Bachelor's,N,N,31868,1983,Midwest,9139.12,Weekly,Y,Dependent,Winter,Center B,49,Certified
16,North America,India,PhD,Y,Y,6237,1964,Midwest,95122.18,Hourly,Y,Work,Summer,Center D,204,Denied
17,Oceania,UAE,PhD,N,Y,43934,1966,South,82060.01,Hourly,Y,Student,Spring,Center C,300,Certified
18,Oceania,Germany,PhD,Y,N,20533,1996,Midwest,113678.62,Monthly,Y,Business,Winter,Center D,169,Certified
19,Europe,UAE,Bachelor's,Y,N,35175,2010,South,73291.19,Hourly,Y,Work,Winter,Center A,342,Denied
20,North America,India,Master's,Y,Y,8157,1994,Northeast,45395.2,Weekly,Y,Work,Summer,Center D,23,Certified
21,South America,Germany,Diploma,Y,Y,22577,2001,South,85590.04,Weekly,Y,Student,Winter,Center C,297,Certified
22,Asia,UK,Bachelor's,Y,N,44907,2016,South,120749.77,Hourly,Y,Tourist,Fall,Center B,355,Certified
23,North America,China,Diploma,Y,N,34436,1981,West,45695.41,Weekly,Y,Dependent,Winter,Center A,79,Denied
24,Europe,Brazil,Bachelor's,Y,N,38722,2014,Midwest,125710.95,Monthly,Y,Student,Spring,Center D,204,Certified
25,Oceania,Australia,Diploma,N,N,14536,2020,Northeast,132649.76,Hourly,Y,Tourist,Summer,Center D,266,Denied
26,South America,Brazil,Diploma,Y,N,35057,1967,South,46857.03,Weekly,N,Business,Summer,Center B,14,Denied
27,North America,Brazil,High School,Y,N,3592,1994,West,105025.14,Weekly,Y,Work,Spring,Center D,273,Certified
28,Asia,China,High School,N,N,41935,1972,Midwest,35817.71,Yearly,N,PR,Spring,Center A,278,Certified
29,Asia,Germany,High School,Y,N,44132,1999,Northeast,149976.03,Weekly,Y,PR,Fall,Center C,354,Certified
30,Africa,China,PhD,Y,N,15953,2009,Northeast,135682.74,Monthly,Y,Student,Winter,Center A,65,Certified
31,Africa,UAE,Bachelor's,Y,N,5131,2021,Northeast,142761.04,Yearly,Y,Tourist,Fall,Center C,292,Certified
32,Europe,UAE,Bachelor's,Y,N,3772,1955,Northeast,37333.02,Hourly,Y,Work,Winter,Center D,247,Certified
33,North America,Canada,Diploma,N,N,47458,1988,South,122205.03,Weekly,Y,Student,Fall,Center A,324,Certified
34,North America,UAE,Bachelor's,N,Y,42728,1969,Midwest,65472.02,Hourly,N,Work,Fall,Center A,13,Certified
35,Oceania,Australia,Master's,Y,Y,46543,2019,Midwest,147271.38,Weekly,Y,Work,Winter,Center A,135,Certified
36,Oceania,Nigeria,Master's,Y,Y,47980,2010,South,139801.97,Hourly,Y,Business,Fall,Center A,318,Certified
37,Oceania,Japan,High School,N,N,9830,2019,South,11146.96,Weekly,Y,Tourist,Spring,Center A,250,Certified
38,Africa,Germany,High School,Y,Y,14078,1994,West,121782.79,Weekly,N,PR,Winter,Center B,251,Denied
