application_id,country_of_applicant,application_date,education_of_employee,has_job_experience,requires_job_training,visa_type,processing_center,processing_time_days,case_status,destination_country,job_offer,years_experience,documents_complete,previous_visa_rejections,processing_days,visa_status
1,India,1/30/2026 5:14,PhD,Y,N,Student,Center C,298,Certified,Singapore,,,No,0,52,Rejected
2,India,10/18/2025 21:17,PhD,Y,N,Work,Center A,298,Certified,Australia,No,13,No,1,42,Rejected
3,India,10/20/2025 8:38,PhD,Y,N,Work,Center C,80,Certified,Germany,No,12,No,2,51,Rejected
4,India,9/1/2024 0:03,High School,Y,Y,Tourist,Center B,276,Certified,Singapore,,,Yes,0,42,Pending
5,India,6/3/2024 2:38,Bachelor's,N,N,Work,Center B,134,Certified,UK,Yes,7,Yes,2,38,Rejected
6,India,2/18/2025 5:22,High School,Y,N,Student,Center B,38,Certified,Germany,,,Yes,2,20,Rejected
7,India,11/5/2024 10:37,Master's,Y,N,Tourist,Center B,343,Certified,Germany,,,No,1,37,Rejected
8,India,1/1/2025 2:48,PhD,Y,N,Business,Center A,165,Certified,Singapore,,,No,1,10,Rejected
9,India,2/27/2024 15:45,Master's,Y,N,Work,Center D,162,Certified,Canada,No,7,No,2,33,Rejected
10,India,6/10/2024 11:56,Master's,N,N,Tourist,Center C,345,Certified,UK,,,No,1,12,Rejected
11,India,2/22/2024 7:56,High School,N,N,Tourist,Center B,41,Certified,Singapore,,,Yes,0,51,Pending
12,India,2/8/2024 17:06,Diploma,N,N,Student,Center A,236,Certified,UK,,,No,2,15,Rejected
13,India,12/17/2024 6:26,Bachelor's,N,N,Student,Center D,314,Denied,UK,,,Yes,1,12,Approved
14,India,5/11/2025 1:34,Master's,Y,Y,Tourist,Center A,56,Certified,Germany,,,Yes,1,27,Pending
15,India,12/21/2025 11:51,Bachelor's,N,N,Work,Center B,49,Certified,Australia,No,9,No,0,35,Rejected
16,India,2/5/2026 7:36,PhD,Y,Y,Work,Center D,204,Denied,UK,No,1,No,0,16,Rejected
17,India,6/25/2025 13:49,PhD,N,Y,Tourist,Center C,300,Certified,UAE,,,Yes,0,41,Pending
18,India,9/5/2024 19:49,PhD,Y,N,Tourist,Center D,169,Certified,Germany,,,Yes,2,17,Rejected
19,India,11/28/2025 0:06,Bachelor's,Y,N,Business,Center A,342,Denied,Canada,,,No,0,21,Rejected
20,India,7/14/2024 3:51,Master's,Y,Y,Business,Center D,23,Certified,Australia,,,No,2,48,Rejected
21,India,8/28/2025 3:53,Diploma,Y,Y,Work,Center C,297,Certified,UAE,Yes,12,No,0,18,Rejected
22,India,1/5/2025 22:30,Bachelor's,Y,N,Student,Center B,355,Certified,UAE,,,Yes,1,17,Approved
23,India,12/8/2025 14:20,Diploma,Y,N,Business,Center A,79,Denied,Canada,,,Yes,0,51,Pending
24,India,12/20/2025 20:22,Bachelor's,Y,N,Tourist,Center D,204,Certified,Australia,,,No,1,51,Rejected
25,India,1/25/2026 14:47,Diploma,N,N,Business,Center D,266,Denied,Germany,,,Yes,2,37,Rejected
26,India,11/16/2025 17:53,Diploma,Y,N,Student,Center B,14,Denied,USA,,,No,2,13,Rejected
27,India,12/10/2025 13:41,High School,Y,N,Student,Center D,273,Certified,Australia,,,Yes,0,29,Pending
28,India,10/8/2025 4:42,High School,N,N,Student,Center A,278,Certified,Canada,,,No,1,45,Rejected
29,India,5/6/2024 20:10,High School,Y,N,Tourist,Center C,354,Certified,UAE,,,Yes,1,21,Approved
30,India,10/21/2025 9:42,PhD,Y,N,Work,Center A,65,Certified,Germany,Yes,6,No,1,40,Rejected
31,India,7/19/2025 23:28,Bachelor's,Y,N,Student,Center C,292,Certified,Australia,,,No,0,59,Rejected
32,India,8/21/2024 17:24,Bachelor's,Y,N,Student,Center D,247,Certified,USA,,,No,2,52,Rejected
33,India,2/9/2024 4:22,Diploma,N,N,Work,Center A,324,Certified,USA,No,14,No,0,7,Rejected
