case_number,employer_name,job_title,salary,case_received_date,decision_date,case_status,work_city,work_state
CASE100000,NextGen,Data Analyst,114489,2019-05-19,2022-07-01,Approved,Chennai,TS
CASE100001,DataWorks,Consultant,48381,2018-10-02,2021-01-12,Pending,Mumbai,TN
CASE100002,GlobalSoft,AI Engineer,102999,2022-08-17,2021-08-23,Approved,Hyderabad,AP
CASE100003,DataWorks,AI Engineer,89907,2022-05-08,2023-12-29,Pending,Pune,KA
CASE100004,DataWorks,Consultant,110467,2018-06-28,2023-11-23,Pending,Hyderabad,KA
CASE100005,InfoSys,Consultant,82623,2023-05-11,2019-01-29,Approved,Bangalore,TS
CASE100006,GlobalSoft,Consultant,150724,2022-11-11,2021-12-25,Denied,Mumbai,TS
CASE100007,GlobalSoft,Project Manager,143069,2018-05-17,2020-05-25,Approved,Hyderabad,MH
CASE100008,GlobalSoft,AI Engineer,59996,2020-02-06,2021-09-19,Denied,Hyderabad,MH
CASE100009,DataWorks,AI Engineer,145682,2020-09-14,2019-02-26,Denied,Hyderabad,TS
CASE100010,NextGen,Project Manager,123609,2022-10-26,2020-12-06,Approved,Bangalore,MH
CASE100011,GlobalSoft,Consultant,141490,2021-04-18,2023-09-21,Denied,Bangalore,KA
CASE100012,DataWorks,Data Analyst,111325,2021-04-20,2023-09-08,Denied,Bangalore,TS
CASE100013,InfoSys,Consultant,68930,2021-07-06,2018-06-25,Approved,Hyderabad,TN
CASE100014,NextGen,Consultant,154426,2018-08-31,2021-08-28,Approved,Pune,TS
CASE100015,InfoSys,Project Manager,57529,2021-01-24,2022-05-22,Approved,Mumbai,AP
CASE100016,NextGen,AI Engineer,93546,2018-07-16,2023-08-25,Approved,Mumbai,AP
CASE100017,DataWorks,Consultant,47942,2023-04-12,2020-03-05,Pending,Bangalore,TS
CASE100018,TechCorp,AI Engineer,47548,2019-06-10,2021-10-31,Denied,Hyderabad,TN
CASE100019,NextGen,Software Engineer,155248,2019-09-24,2019-06-13,Approved,Pune,TS
CASE100020,InfoSys,AI Engineer,137780,2021-11-11,2023-06-20,Approved,Chennai,TN
